Date,Open,High,Low,Close,Adj Close,Volume
11/19/2018,56.939999,57.169998,55.34,55.68,52.16103,10301600
11/20/2018,55.830002,56.549999,55.619999,55.630001,52.114189,10165700
11/21/2018,55.740002,55.799999,54.130001,54.389999,50.95256,9007700
11/23/2018,54.490002,54.790001,53.439999,53.720001,50.324905,4674300
11/26/2018,53.619999,53.810001,52.900002,53.209999,49.847134,12202700
11/27/2018,53.34,54.240002,53.23,53.790001,50.39048,8955700
11/28/2018,53.790001,55.18,53.310001,54.950001,51.477169,10652100
11/29/2018,55.48,56.279999,55.029999,55.939999,52.404594,15437200
11/30/2018,55.91,56.119999,54.540001,54.830002,51.36475,13911300
12/3/2018,54.700001,56.119999,54.549999,55.73,52.207874,9370000
12/4/2018,55.790001,56.23,54.299999,54.400002,50.961929,12359900
12/6/2018,54.400002,55.049999,53.189999,54.400002,50.961929,12456700
12/7/2018,55.419998,56.139999,53.919998,54.18,50.755829,12371700
12/10/2018,54.41,54.48,52.73,53.360001,49.987656,10323000
12/11/2018,53.75,54.66,53.48,53.950001,50.540367,9348000
12/12/2018,54.439999,54.889999,53.169998,53.330002,49.959549,9310400
12/13/2018,53.360001,54.099998,53.23,53.919998,50.51226,8120000
12/14/2018,53.509998,53.66,52.450001,52.73,49.397469,9411600
12/17/2018,52.700001,53.450001,52.049999,52.349998,49.041485,10744000
12/18/2018,52.360001,52.439999,50.689999,50.889999,47.673756,11108300
12/19/2018,51.18,52.290001,50.68,51.400002,48.151527,17742300
12/20/2018,50.490002,50.650002,49.290001,50.439999,47.252197,28763400
12/21/2018,48.970001,49.560001,48.630001,49.09,45.987518,34460600
12/24/2018,47.759998,48.259998,47.5,47.560001,45.292328,9548700
12/26/2018,47.48,48.43,46.490002,48.43,46.120842,15019500
12/27/2018,48.080002,48.709999,47.169998,48.700001,46.377975,13388800
12/28/2018,49.400002,49.57,48.599998,48.889999,46.55891,11424300
12/31/2018,49.07,49.389999,48.599998,49.389999,47.035069,9726400
1/2/2019,48.91,49.52,47.950001,49.310001,46.958885,9412800
1/3/2019,48.799999,49.5,48.669998,49.040001,46.701763,9835100
1/4/2019,49.490002,50.310001,49.349998,50.299999,47.90168,10464000
1/7/2019,49.68,49.689999,48.529999,48.779999,46.454151,11432900
1/8/2019,49.259998,49.869999,49.009998,49.060001,46.720806,10725400
1/9/2019,49.189999,50.049999,49.099998,49.66,47.292198,9824200
1/10/2019,49.830002,49.959999,48.849998,48.860001,46.530338,15910200
1/11/2019,49,49.450001,48.549999,48.900002,46.568436,11219900
1/14/2019,48.959999,48.970001,48.07,48.259998,45.95895,10563400
1/15/2019,48.099998,48.349998,47.700001,47.91,45.625637,10655000
1/16/2019,47.84,47.93,47.130001,47.200001,44.949493,13711000
1/17/2019,47,47.400002,46.66,47.060001,44.816166,13407100
1/18/2019,47.52,48.509998,47.299999,48.310001,46.006565,13831400
1/22/2019,47.360001,47.490002,44.57,44.970001,42.825817,23885200
1/23/2019,45.009998,45.220001,44.509998,44.700001,42.568691,15006600
1/24/2019,44.560001,44.560001,42.400002,43.330002,41.264011,27841900
1/25/2019,43.720001,44.599998,43.599998,44.240002,42.130627,14265700
1/28/2019,44.580002,45.5,43.970001,45.299999,43.140083,17772000
1/29/2019,45.689999,46.060001,45.360001,45.91,43.720997,16785500
1/30/2019,46.169998,47.810001,45.610001,47.799999,45.520882,23371900
1/31/2019,49.169998,49.669998,47.599998,49.349998,46.996975,23635100
2/1/2019,49.529999,49.630001,48.799999,49.200001,46.854126,15596800
2/4/2019,48.900002,49.200001,48.630001,49.110001,46.768421,11725800
2/5/2019,49.119999,49.150002,48.619999,49.040001,46.701763,17882100
2/6/2019,49.16,49.369999,48.740002,49.27,46.920792,8815400
2/7/2019,49.16,49.389999,48.279999,48.720001,46.397015,8849400
2/8/2019,48.59,48.869999,47.830002,48.84,46.511295,8577800
2/11/2019,48.919998,48.98,48.34,48.889999,46.55891,7786800
2/12/2019,48.970001,49.73,48.950001,49.66,47.292198,8930100
2/13/2019,49.77,49.84,48.830002,49,46.663666,9106900
2/14/2019,48.990002,49.439999,48.740002,49.139999,46.796986,7401400
2/15/2019,49.290001,49.400002,48.740002,48.740002,46.416061,9161700
2/19/2019,48.82,49.380001,48.360001,48.990002,46.65414,11662900
2/20/2019,49.23,50.959999,49.150002,50.509998,48.101665,11133600
2/21/2019,50.389999,50.799999,50.009998,50.369999,47.968342,7337100
2/22/2019,50.650002,51.540001,50.400002,51.5,49.044464,8232900
2/25/2019,52.049999,52.32,51.509998,51.84,49.368256,15052000
2/26/2019,51.919998,52.310001,51.84,52.099998,49.615856,12231100
2/27/2019,52.400002,52.75,51.709999,52.32,49.825363,8597400
2/28/2019,52.41,52.650002,51.869999,52.41,49.911076,11194800
3/1/2019,52.669998,52.939999,52.130001,52.75,50.234863,7386500
3/4/2019,52.950001,53.25,52.220001,52.459999,49.958691,8437100
3/5/2019,52.310001,53.900002,51.959999,52.880001,50.358665,9527800
3/6/2019,53.25,54.75,52.98,54.669998,52.063313,13335200
3/7/2019,54.880001,54.880001,53.869999,54.740002,52.129982,20093400
3/8/2019,54.73,55.549999,54.68,55.369999,52.729942,13411200
3/11/2019,55.32,56.169998,55.299999,56.009998,53.339424,11709200
3/12/2019,56.110001,56.369999,55.09,55.75,53.091824,17503300
3/13/2019,55.66,56.290001,55.34,56.130001,53.453705,11166300
3/14/2019,56.080002,56.490002,55.77,56.400002,53.710835,11896000
3/15/2019,56.759998,57.07,56.009998,56.75,54.044144,24580600
3/18/2019,56.830002,57.439999,56.580002,57.299999,54.567921,8272400
3/19/2019,57.299999,57.68,55.16,56.009998,53.339424,16077100
3/20/2019,55.990002,56.439999,55.009998,55.720001,53.063255,16750600
3/21/2019,55.509998,57.200001,55.509998,56.93,54.215561,10413400
3/22/2019,56.02,56.57,55.91,55.919998,54.012718,8850200
3/25/2019,55.669998,56.630001,55.560001,56.549999,54.621235,8620400
3/26/2019,56.849998,57.279999,56.73,57.029999,55.084862,7146400
3/27/2019,56.790001,57.16,56.189999,56.299999,54.379761,7819700
3/28/2019,56.32,57.23,56.310001,56.700001,54.766117,9951000
3/29/2019,56.830002,57.5,56.77,57.43,55.471222,9447400
4/1/2019,57.380001,57.790001,56.860001,57.73,55.76099,7011900
4/2/2019,57.849998,57.880001,56.610001,56.689999,54.756458,8457900
4/3/2019,55.73,56.32,53.43,53.98,52.138889,18583800
4/4/2019,54.34,54.919998,54.25,54.599998,52.737743,8452600
4/5/2019,54.5,54.91,54.02,54.77,52.901947,7743700
4/8/2019,54.77,55.389999,54.599998,55.279999,53.39455,5607100
4/9/2019,55.139999,55.59,54.849998,55.110001,53.23035,6045700
4/10/2019,55.259998,55.529999,54.91,55.419998,53.529774,5786400
4/11/2019,55.639999,56.040001,55.509998,55.98,54.070675,5259700
4/12/2019,56.040001,56.599998,55.73,56.560001,54.630898,4689000
4/15/2019,56.68,57.110001,56.509998,56.939999,54.997932,4667200
4/16/2019,56.700001,56.799999,56.02,56.389999,54.466694,5403800
4/17/2019,56.75,56.759998,56.07,56.18,54.263855,6002100
4/18/2019,56.16,56.310001,53.279999,54.369999,52.515587,18001200
4/22/2019,54.029999,54.950001,53.709999,54.610001,52.747406,9066800
4/23/2019,54.700001,54.990002,53.900002,54.82,52.950241,9228900
4/24/2019,54.560001,55.029999,54.360001,54.709999,52.84399,9662200
4/25/2019,52.09,52.75,50.66,51.41,49.656548,16929600
4/26/2019,51.540001,52.939999,51.5,52.790001,50.989479,9129600
