A
ABBV
ABT
ALC
AMN
AMRX
ARA
AVNS
AZN
BAX
BDX
BHC
BHVN
BIO
BKD
BSX
CGC
CI
CMD
CNC
CNMD
CRL
CRY
CSU
CTLT
CVS
CYH
DGX
DVA
EBS
EHC
ELAN
EW
FMS
GEN
GKOS
GNC
HAE
HCA
HRC
HUM
INSP
IQV
JNJ
LLY
MD
MDT
MNK
MOH
MTD
MYOV
NVO
NVRO
NVS
NVST
NVTA
PBH
PEN
PFE
PRGO
RCUS
RDY
RMD
SEM
SYK
TARO
TDOC
TEVA
TFX
TMO
