ABB
ABM
ACA
ACCO
ACM
ADSW
ADT
AER
AGCO
AIT
AJRD
AL
ALG
ALK
ALLE
AME
AMRC
AOS
AQUA
ASGN
ASR
ATKR
AVH
AVY
AWI
AXE
AYI
B
BA
BAH
BBU
BCO
BDC
BE
BEST
BLD
BMI
BRC
BV
BWXT
CAAP
CAE
CAI
CAT
CBZ
CEA
CFX
CLH
CMI
CMRE
CNHI
CNI
CNR
CODI
CP
CPA
CR
CRS
CSL
CUB
CVA
CW
DAL
DCI
DE
DOOR
DOV
DY
EAF
EFX
EME
EMR
ENR
ENS
FBM
FCN
FIX
FLOW
FLR
FSS
FTAI
GATX
GBX
GE
GFF
GFL
GGG
GMS
GNRC
GPN
GSH
GTES
GWW
HI
HII
HNI
HRI
HSC
HUBB
IAA
IBP
IEX
INFO
INSW
ITT
ITW
J
JBT
JCI
JELD
KAI
KBR
KEX
KFY
KMT
KNL
KNOP
KNX
LII
LMT
LPX
LUV
MAN
MAS
MIC
MLI
MMS
MSA
MSM
MTZ
MWA
NAT
NLSN
NOC
NPO
NSC
NVT
OC
OSK
OTIS
PAC
PBI
PH
PRLB
PSN
PWR
QUAD
R
RBA
RBC
REZI
ROK
ROP
RSG
RTX
RXN
RYI
SAVE
SCS
SFL
SITE
SNA
SPCE
SPR
SPXC
SSD
SWK
TDG
TGH
TGI
TKR
TNC
TNET
TREX
TRN
TRTN
TRU
TTC
TXT
UNP
UPS
URI
VMI
VRTV
WAB
WCC
WCN
WMS
WNS
WSO
WTS
XYL
ZNH
AAL
AAWW
AAXN
ADP
AEIS
AIMC
ALGT
AVAV
BECN
BLDP
BLDR
BMCH
CAR
CATM
CPRT
CSX
CTAS
CWST
ESLT
EXPD
EXPO
FAST
FELE
FRTA
FWRD
GFNCP
GTLS
HDS
HLIO
HTLD
HUBG
HURN
ICFI
JBHT
JBLU
JOBS
KRNT
LSTR
MATW
MESA
MGRC
MIDD
MINI
MLHR
MRCY
MRTN
NDSN
ODFL
OMAB
PATK
PAYX
PCAR
PRIM
RCII
ROCK
ROLL
SAIA
SKYW
SP
SRCL
TRS
TTEK
UHAL
UPWK
VRRM
VRSK
WERN
WLFC
WSC
WWD
