AAP
ABG
ACEL
ADNT
AIN
ALSN
ALV
AMCR
AN
ANF
ARCO
ARD
ARMK
ATR
AXL
AZO
BABA
BBY
BC
BERY
BFAM
BLL
BURL
BWA
BYD
CARS
CBD
CCS
CHH
CHWY
CMG
CNNE
CPRI
CRI
CTB
CUK
CVNA
CWH
DAN
DECK
DHI
DIN
DKS
DLPH
DPZ
DRI
EAT
ELY
EVRI
EXPR
FBHS
FL
FND
FTCH
FUN
GCO
GEF
GES
GHG
GIL
GM
GOLF
GOOS
GPC
GPI
GPS
GTX
H
HBI
HD
HGV
HMC
HOG
HOME
HRB
HUD
IGT
IP
JCP
JWN
KAR
KMX
KSS
KTB
LAD
LB
LEA
LEG
LEN
LEVI
LOW
LVS
LZB
MANU
MCD
MDC
MGA
MGM
MHK
MHO
MSC
MUSA
NCLH
NIO
NKE
NVR
OI
PAG
PII
PKG
PLNT
PLOW
PRTY
PVH
QSR
RCL
RGS
RH
ROL
SAH
SBH
SCI
SEAS
SERV
SHAK
SIX
SKX
SKY
SMP
SON
TEN
THO
TIF
TJX
TLRD
TM
TOL
TPH
TPX
TRWH
TTM
TUP
UA
UAA
VAC
VFC
VIPS
W
WBC
WGO
WH
WHR
WRK
WSM
WWW
WYND
YETI
YUMC
AMWD
AMZN
BBBY
BJRI
BKNG
BZUN
CAKE
CHDN
COLM
CONN
CROX
CTRC
CVCO
CZR
DNKN
DOOO
DORM
EBAY
ERI
ETSY
EYE
FIVE
FLWS
FOXF
FTDR
GAN
GDEN
GIII
GNTX
GT
HAS
JD
LGIH
LKQ
LULU
MAR
MAT
MELI
MIK
MLCO
MMYT
MNRO
ODP
ORLY
PDD
PENN
PLAY
PLYA
POOL
PTON
PZZA
QRTEA
REAL
REYN
ROST
RRR
RUSHA
SBUX
SFIX
SHOO
SLGN
STAY
TAST
TRIP
TSCO
TSLA
TXRH
ULTA
URBN
VC
WING
WYNN
