ADS
ADX
AEG
AFG
AFL
AGM
AGO
AIZ
AIZP
AJG
ALL
ALLY
AMBC
AMG
AMK
AMP
AON
APAM
ARES
ASB
ATH
AVAL
AX
AXP
AXS
BAC
BANC
BAP
BBDO
BCH
BCS
BCSF
BDJ
BEN
BHK
BHLB
BKU
BLK
BLX
BMA
BMO
BNS
BRO
BSBR
BSIG
BSMX
BTZ
BX
BXMX
BXS
BY
CADE
CBU
CFG
CFR
CIT
CM
CMA
CNA
CNO
CNS
COF
CS
CUBI
CURO
DB
DFS
DNP
EFC
ENVA
ESNT
ETG
ETV
ETY
EV
EVR
EVT
FAF
FCF
FDS
FFG
FHI
FHN
FNB
FNF
FRC
FSK
GAB
GDV
GL
GNW
GSBD
GWB
HDB
HIG
HKIB
HLI
HMN
HTD
HTGC
HYT
IBN
ICE
ING
IVZ
IX
JEF
JHG
JPC
JPS
JQC
KB
KEY
KKR
KMPR
KYN
L
LAZ
LFC
LM
LNC
LYG
MA
MAIN
MBI
MC
MCY
MET
MFC
MFG
MKL
MMC
MSCI
MTG
MYI
NAD
NBHC
NEA
NFJ
NMFC
NMR
NMZ
NNI
NOAH
NUV
NVG
NYCB
NZF
OMF
ORCC
ORI
PB
PFS
PFSI
PGR
PHK
PJT
PML
PNC
PRI
PRU
PTY
PUK
RBS
RF
RLI
RNP
RQI
RVT
RY
SC
SF
SHG
SLF
SYF
TD
TSLX
TY
UNM
UTF
V
VEL
VGM
VKQ
VMO
WAL
WBK
WBS
WD
WF
WRB
WU
Y
ACGLO
ACGLP
AMSF
AMTB
ARCC
ATLC
AUB
BGCP
BHF
BHFAP
BOKF
BPFH
CACC
CATY
CBSH
CBSHP
CFFN
CG
CGBD
CHCO
CHI
CHY
CINF
CLBK
CME
COLB
COOP
CPSS
CSFL
CSQ
CVBF
DCOM
DCOMP
ECPG
EHTH
ERIE
EWBC
FCNCA
FFBC
FFIC
FFIN
FFWM
FHB
FIBK
FITB
FITBI
FITBO
FITBP
FMBI
FOCS
FRME
FULT
FUTU
GBDC
GGAL
GSHD
GWGH
HBAN
HBANO
HBNC
HLNE
HMST
HOMB
HTLF
HWC
IBKCN
IBKCO
IBKCP
IBOC
IBTX
INDB
ISBC
JRVR
KNSL
KRNY
LBC
LPLA
LX
MFIN
MKTX
MORN
NAVI
NBTB
NDAQ
NFBK
NGHC
NGHCN
NGHCO
NGHCP
NMIH
NTRS
NTRSO
NWBI
ONB
OPB
OPRT
PBCT
PBCTP
PFG
PLMR
PNFP
PRAA
PSEC
PYPL
QFIN
RBCAA
SAFT
SASR
SBNY
SBSI
SEIC
SFBS
SFNC
SIGI
SIVB
SLMBP
SRCE
STBA
STFC
TCF
TCPC
TFSL
TOWN
TREE
TROW
TW
UBSI
UMBF
VBTX
VCTR
VIRT
VLY
VLYPO
VLYPP
WAFD
WASH
WLTW
WSBC
WSFS
WTFC
WTFCM
XP
ZION
ZIONN
ZIONO
ZIONP
