ANET
ARW
ASX
AVLR
AVYA
AYX
BB
BILL
BKI
BOX
BR
CAJ
CCC
CDAY
CLDR
CLGX
DAVA
DBD
DELL
DT
DXC
ENV
EPAM
ESTC
EVTC
FICO
FIS
FIT
FLT
FN
FSLY
FTV
G
GDDY
GIB
GLOB
GLW
GWRE
HPE
HPQ
HUBS
IBM
INFY
IPHI
JBL
JNPR
KEYS
KN
LDOS
LPL
MAXR
MDLA
MEI
MODN
MXL
NCR
NET
NEWR
NOK
NOVA
NOW
ONTO
ORCL
PAGS
PANW
PAYC
PD
PING
PLAN
PRO
PRSP
PSTG
QTWO
RAMP
RNG
ROG
SAIC
SAIL
SAP
SHOP
SMAR
SNE
SNX
SQ
ST
SWCH
SWI
TDC
TDY
TSM
UBER
VMW
VSH
VSLR
WEX
WIT
WK
WORK
XRX
YEXT
ZEN
ZUO
AAPL
ACIA
ACIW
ADBE
ADI
ADSK
AKAM
ALRM
ALTR
AMAT
AMBA
AMD
AMKR
ANSS
APPF
APPN
AVGO
AVGOP
AVT
AZPN
BAND
BL
BLKB
BRKS
CCMP
CDK
CDNS
CDW
CGNX
CHKP
CNDT
COHR
COMM
COUP
CREE
CRUS
CRWD
CSCO
CSGS
CSIQ
CSOD
CTSH
CTXS
CVLT
CYBR
DBX
DDOG
DIOD
DOCU
DOX
DSGX
EEFT
EGOV
EIGI
ENPH
ENTG
EPAY
EVBG
EVOP
EXLS
FEYE
FFIV
FISV
FIVN
FLEX
FLIR
FORM
FSCT
FSLR
FTNT
GDS
IIVI
INFN
INSG
INTC
INTU
IPGP
IRBT
ITRI
JFU
JKHY
KLAC
LFUS
LITE
LOGM
LPSN
LRCX
LSCC
LYFT
MANH
MANT
MCHP
MDB
MIME
MKSI
MPWR
MRVL
MSFT
MTLS
MTSI
MU
MXIM
NATI
NICE
NLOK
NSIT
NTAP
NTCT
NTNX
NUAN
NVDA
NVMI
NXPI
OKTA
OLED
ON
OSIS
OTEX
PCTY
PEGA
PFPT
PLUS
PLXS
POWI
PRFT
PRGS
PS
PTC
QCOM
QLYS
QRVO
RMBS
RP
RPAY
RPD
RUN
SABR
SATS
SCSC
SEDG
SIMO
SLAB
SMCI
SMTC
SNPS
SPLK
SPNS
SPSC
SPT
SPWR
SSNC
STNE
SVMK
SWKS
SYKE
SYNA
TEAM
TECD
TENB
TER
TRMB
TTD
TTMI
TXN
UPLD
VICR
VNET
VRNS
VRNT
VRSN
VRTU
VSAT
WDAY
WDC
WIX
XELA
XLNX
ZBRA
ZS
