TSLA,449.3900146484375,0.9136315789473684,0.6516598493573598,0.7810955309803121
ZM,468.4700012207031,0.9060526315789473,0.6720340298377959,0.766257079196387
ROKU,188.82000732421875,0.9036842105263158,0.5561412790218286,0.7304983796829556
PTON,94.80000305175781,0.9028947368421052,0.5335894680482298,0.7209097671741551
BGNE,271.07000732421875,0.8878947368421052,0.445058152382389,0.6360057138957839
CRWD,138.1300048828125,0.886157894736842,0.4691174941368053,0.6434849893645279
NIO,18.809999465942383,0.7612631578947369,0.773045134863142,0.4524366336226081
PINS,36.869998931884766,0.7429473684210526,0.6230602982818665,0.33038275422915403
ZG,94.80999755859375,0.7292105263157894,0.4301125870118368,0.09963240686224648
IQ,23.510000228881836,0.7274736842105263,0.5097303074077044,0.19282563242910578
Z,95.70999908447266,0.7268421052631578,0.4281919666793224,0.08890885103792595
UBER,36.4900016784668,0.7129473684210526,0.403950563852314,0.002334097229048436
