2020-05-20
ABEV
ADM
AGRO
ATGE
BG
BGS
BIG
BJ
BRBR
BRFS
BTI
BUD
CAG
CCEP
CCU
CHD
CHGG
CL
CLX
COTY
CPB
DAR
DG
EDU
EL
EPC
FDP
FLO
FMX
GHC
GIS
HLF
HRL
HSY
IBA
K
KDP
KMB
KO
KOF
KR
LW
MKC
MO
NOMD
NTCO
NUS
PFGC
PG
PM
POST
SAM
SPB
SYY
TAL
THS
TR
TSN
