AM
APA
APY
AR
AROC
BKR
BP
BPMP
BSM
BTU
CAPL
CCJ
CEIX
CEO
CLB
CLR
CNQ
CNX
CNXM
COG
COP
CPE
CRK
CVE
CVI
CVIA
CXO
CZZ
DCP
DKL
DSSI
E
EC
ENB
ENBL
EOG
EPD
EQM
EQNR
EQT
ET
ETRN
EURN
FTI
GEL
GLOG
GLOP
GLP
HAL
HEP
HESM
HP
KMI
KOS
LPG
LPI
MGY
MMP
MPC
MPLX
MRC
MRO
MTDR
MUR
NE
NFG
NGL
NOV
NS
OII
OXY
PAA
PBA
PBF
PBFX
PBR
PE
PSX
PSXP
PTR
QEP
SDRL
SHLX
SLB
SLCA
SM
SMLP
SNP
SU
SUN
SWN
TALO
TCP
TGP
TNP
TOT
TPL
TRGP
TRP
TS
TTI
UGP
UNT
USAC
VVV
WES
WMB
WPX
WTI
XEC
YPF
ALTM
ARLP
CDEV
CLMT
FANG
GLNG
GMLP
NBLX
OAS
PDCE
REGI
RTLR
SNDE
VNOM
XOG
