
HPQ,17.18000030517578,0.9216842105263158,0.5828540293251353,0.7873181676864592
put,COST,2020-06-04,0.9702352941176471,0.7342735591992782,8.225,302.5,0.9296990314271981
put,DG,2020-06-04,0.9670588235294117,0.5575312614440917,6.4,177.5,0.9079748245707424
put,JWN,2020-06-04,0.9664705882352941,0.1817045428536155,1.76,16.0,0.7819434914542422
put,PVH,2020-06-18,0.9622352941176471,0.2014090971513228,4.4,45.0,0.7747328107815565
put,DXC,2020-06-18,0.9565882352941176,0.16684210927862872,1.9,16.0,0.6963915445810795
call,KEYS,2020-06-18,0.8025882352941177,0.5041512497332918,5.949999999999999,100.0,0.41101573634599886
