AA
ACH
AEM
AGI
ALB
APD
ASH
AUY
AVTR
AXTA
BAK
BCC
BHP
BVN
CBT
CC
CE
CF
CLW
CMC
CMP
CRH
CSTM
CTVA
CX
DOW
ECL
EMN
ESI
EVA
FCX
FNV
FOE
FUL
GCP
GFI
GGB
GRA
HBM
HL
HUN
IAG
ICL
IFF
KL
KOP
KRA
KRO
KWR
LIN
LTHM
LYB
MDU
MLM
MOS
MTX
NEM
NGVT
NP
NTR
NUE
OEC
OLN
OR
PKX
PPG
PQG
PVG
RPM
RS
RYAM
SBSW
SCCO
SCL
SHW
SID
SMG
SQM
SUM
SWM
SXC
SXT
TECK
TROX
TSE
TX
UNVR
VHI
VMC
WLK
WLKP
WOR
BCPC
IOSP
KALU
MEOH
PAAS
RGLD
SSRM
STLD
UFPI
USCR
WDFC
