AAT
ABR
ACC
ACRE
ADC
AHH
AHT
AJX
AKR
ALEX
ALX
AMH
AMT
ANH
APLE
APTS
ARE
ARI
BFS
BRT
BRX
BXMT
BXP
CBL
CCI
CHCT
CHMI
CIO
CLNC
CLPR
COLD
COR
CPLG
CPT
CUBE
CWK
CXP
CXW
DEA
DEI
DLR
DOC
DRH
EARN
ELS
EPR
EPRT
EQR
ESRT
ESS
EXR
FCPT
FPH
FR
FRT
GPMT
HASI
HHC
HIW
HPP
HR
IIPR
INN
INVH
IRM
IRT
IVR
JBGS
JLL
JOE
KIM
KRC
KREF
KW
LADR
LSI
LTC
MAA
MAC
MGP
MITT
MNR
MPW
NHI
NLY
NSA
NXRT
O
OHI
ORC
PDM
PEB
PEI
PGRE
PK
PLD
PMT
PSA
PSB
QTS
RC
REXR
RLGY
RLJ
RPAI
RWT
RYN
SAFE
SHO
SKT
SLG
SNR
SRG
STAG
STOR
STWD
SUI
TCO
TRNO
TRTX
UBA
UDR
UE
UHT
UMH
VICI
WMC
WPC
WRE
WY
XAN
XHR
XIN
AFIN
AFINP
AGNC
AGNCM
AGNCN
AGNCO
BPY
BPYPO
BPYPP
BPYU
BPYUP
CIGI
CONE
CSGP
CTRE
DHC
EQIX
GLPI
GOOD
GOODM
ILPT
LANDP
NMRK
NYMTM
NYMTN
NYMTO
NYMTP
RDFN
REG
SBAC
SBRA
