2020-05-07,put,AEP,2020-08-20,1.0,nan,0.25,45.0,nan
2020-05-07,put,EXC,2020-05-14,0.9359999999999999,0.25381816517223,1.1,34.0,0.6838509863288453
2020-05-07,put,CSCO,2020-05-21,0.9359999999999999,0.1121622034021327,1.48,41.0,0.365397800161412
2020-05-07,put,LIN,2020-05-14,0.9333333333333333,0.3133944730146215,5.45,180.0,0.7206088840940629
2020-05-07,put,LNT,2020-05-14,0.9413333333333334,0.9439999229029604,0.9500000000000001,45.0,0.8791864356023922
2020-05-07,call,D,2020-05-14,0.6106666666666667,0.6582400716145834,1.875,77.5,0.01919047109208589
2020-05-07,put,ED,2020-05-14,0.9306666666666666,0.2935651696246605,2.3,75.0,0.694489693008723
2020-05-07,call,DLR,2020-05-14,0.7653333333333333,0.7874626501282649,3.35,150.0,0.4673297815097094
2020-05-07,put,MTD,2020-05-14,0.9333333333333333,0.14492802734375004,25.0,720.0,0.47333489211711466
2020-05-07,put,PWR,2020-05-14,0.9333333333333333,0.1543829735289228,1.175,34.0,0.5015067844414183
2020-05-07,put,BLL,2020-05-14,0.9093333333333333,0.4020266927083334,1.875,65.0,0.6838093362676845
